date;descripcionEs;descriptionEu;municipalityEs;MunicipalityEu;territory;municipalitycode;latwgs84;lonwgs84
14/08/2026;Fiesta local;Tokiko jai-eguna;Zerain  ;Zerain  ;Gipuzkoa;26.0;43.012.119;-2.274.118
08/09/2026;Día de la Virgen;Ama Birjin eguna;Zestoa  ;Zestoa  ;Gipuzkoa;27.0;43.239.442;-2.258.113
09/09/2026;Fiesta local;Tokiko jai-eguna;Zizurkil  ;Zizurkil  ;Gipuzkoa;28.0;43.199.523;-2.074.073
29/06/2026;San Pedro;San Pedro;Zumaia  ;Zumaia  ;Gipuzkoa;81.0;43.297.258;-2.256.848
02/07/2026;Santa Isabel;Santa Isabel;Zumarraga  ;Zumarraga  ;Gipuzkoa;80.0;43.090.476;-231.322
24/06/2026;San Juan;Jon Deuna;Salvatierra  ;Agurain;Álava - Araba;51.0;42.852.442;-2.389.455
27/07/2026;Santiago;Done Jakue;Ayala - Agiñaga;Aiara - Agiñaga;Álava - Araba;10.0;4.303.508;-3.071.144
21/05/2026;San Ramiro;San Ramiro;Ayala - Añes  ;Aiara - Añes  ;Álava - Araba;10.0;43.058.414;-3.132.924
15/05/2026;San Isidro;San Isidro;Ayala - Respaldiza  ;Aiara - Arespalditza  ;Álava - Araba;10.0;43.078.065;-3.042.931
29/09/2026;San Miguel;San Miguel;Ayala - Beotegi  ;Aiara - Beotegi  ;Álava - Araba;10.0;4.308.866;-3.075.259
04/05/2026;La Cruz;Gurutzea;Ayala - Erbi  ;Aiara - Erbi  ;Álava - Araba;10.0;43.074.143;-3.111.819
08/05/2026;Nuestra Señora de la Antigua;Antiguako Ama;Ayala - Etxegoien  ;Aiara - Etxegoien  ;Álava - Araba;10.0;43.043.726;-302.107
07/01/2026;San Julián;Done Julian;Ayala - Izoria  ;Aiara - Izoria  ;Álava - Araba;10.0;43.061.416;-3.036.324
05/08/2026;Las Nieves;Elurretako Andra Maria;Ayala - Quejana  ;Aiara - Kexaa;Álava - Araba;10.0;43.081.485;-3.063.094
09/12/2026;La Inmaculada;Sortzez Garbiaren eguna;Ayala - Lejarzo  ;Aiara - Lexartzu;Álava - Araba;10.0;43.060.158;-3.122.923
27/07/2026;Santiago;Done Jakue;Ayala - Llanteno  ;Aiara - Llanteno  ;Álava - Araba;10.0;43.091.803;-3.099.984
22/07/2026;La Magdalena;Magdalena eguna;Ayala - Luiaondo  ;Aiara - Luiaondo  ;Álava - Araba;10.0;43.102.723;-2.997.211
17/08/2026;La Asunción;Jasokundearen eguna;Ayala - Lujo  ;Aiara - Luxo  ;Álava - Araba;10.0;43.077.952;-3.096.407
23/11/2026;San Clemente;San Klemente;Ayala - Madaria  ;Aiara - Madaria  ;Álava - Araba;10.0;4.304.389;-3.085.953
17/01/2026;San Antón;San Anton;Ayala - Maroño  ;Aiara - Maroño  ;Álava - Araba;10.0;43.055.065;-305.901
29/06/2026;San Pedro;Done Petri;Ayala - Menagarai  ;Aiara - Menagarai  ;Álava - Araba;10.0;43.096.299;-3.072.769
25/04/2026;San Marcos;San Marko;Ayala - Menoio  ;Aiara - Menoio  ;Álava - Araba;10.0;43.069.585;-3.072.926
24/06/2026;San Juan;Jon Deuna;Ayala - Murga  ;Aiara - Murga  ;Álava - Araba;10.0;43.075.372;-302.559
24/01/2026;San Babilás;San Babilas;Ayala - Olabezar  ;Aiara - Olabezar  ;Álava - Araba;10.0;43.069.997;-3.014.813
29/09/2026;San Miguel;San Miguel;Ayala - Costera  ;Aiara - Opellora;Álava - Araba;10.0;43.102.599;-3.103.772
08/10/2026;Nuestra Señora del Rosario;Errosarioko Andra Maria;Ayala - Ozeka  ;Aiara - Ozeka  ;Álava - Araba;10.0;43.070.824;-3.090.905
22/07/2026;La Magdalena;Magdalena eguna;Ayala - Retes de Llanteno  ;Aiara - Retes de Llanteno  ;Álava - Araba;10.0;43.091.803;-3.099.984
18/07/2026;Santa Marina;Dona Marina;Ayala - Salmantón  ;Aiara - Salmanton  ;Álava - Araba;10.0;43.052.629;-3.088.347
